epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,1409.4,0.44338,0.3615,0.00251,0.93842,0.93221,0.95903,0.90397,0.41414,0.31908,0.00301,0.000714485,0.000714485,0.000714485
125,1420.75,0.43211,0.3643,0.00256,0.94352,0.94488,0.96387,0.90061,0.43521,0.31803,0.00296,0.000708946,0.000708946,0.000708946
126,1432.04,0.43278,0.343,0.00248,0.94963,0.94277,0.9662,0.90685,0.41195,0.3045,0.003,0.000703391,0.000703391,0.000703391
127,1443.46,0.44039,0.35474,0.00253,0.9475,0.9418,0.96171,0.90341,0.42667,0.32062,0.00298,0.000697821,0.000697821,0.000697821
128,1455,0.44018,0.35949,0.00252,0.94388,0.93862,0.96288,0.9093,0.3957,0.30682,0.00271,0.000692235,0.000692235,0.000692235
129,1466.97,0.43347,0.34792,0.00253,0.94186,0.93739,0.9634,0.90645,0.40354,0.3084,0.00283,0.000686635,0.000686635,0.000686635
130,1479.09,0.43197,0.35788,0.00255,0.93885,0.93692,0.96516,0.90158,0.43038,0.31203,0.00298,0.000681022,0.000681022,0.000681022
131,1490.56,0.43381,0.35162,0.00256,0.9435,0.93875,0.96378,0.90892,0.4027,0.30759,0.00288,0.000675395,0.000675395,0.000675395
132,1501.83,0.43728,0.3581,0.00259,0.94855,0.93749,0.964,0.8981,0.44287,0.31596,0.00308,0.000669756,0.000669756,0.000669756
133,1513.2,0.42923,0.34879,0.00242,0.948,0.94157,0.96341,0.90517,0.40567,0.30922,0.00288,0.000664104,0.000664104,0.000664104
134,1524.53,0.42937,0.34974,0.00247,0.93371,0.93398,0.96248,0.89781,0.42564,0.30732,0.00312,0.000658442,0.000658442,0.000658442
135,1535.93,0.42715,0.34629,0.00241,0.93378,0.93153,0.96282,0.909,0.41094,0.31155,0.00294,0.000652769,0.000652769,0.000652769
136,1547.23,0.42927,0.34963,0.00244,0.94465,0.93116,0.9635,0.91214,0.3976,0.31167,0.00275,0.000647085,0.000647085,0.000647085
137,1558.42,0.43283,0.35139,0.0025,0.9451,0.94293,0.96465,0.91079,0.39509,0.3013,0.00282,0.000641393,0.000641393,0.000641393
138,1569.71,0.432,0.35479,0.0025,0.94296,0.93548,0.96356,0.90462,0.42459,0.31122,0.00303,0.000635691,0.000635691,0.000635691
139,1581.14,0.43653,0.3563,0.00252,0.94237,0.93789,0.96458,0.9063,0.4185,0.30594,0.00302,0.000629981,0.000629981,0.000629981
140,1592.24,0.431,0.35808,0.00246,0.94914,0.93815,0.96551,0.90876,0.4137,0.29971,0.00306,0.000624264,0.000624264,0.000624264
141,1603.89,0.42033,0.33715,0.0024,0.94083,0.93696,0.96434,0.90789,0.41037,0.30291,0.00293,0.00061854,0.00061854,0.00061854
142,1615.08,0.42208,0.34992,0.00237,0.94151,0.93921,0.96454,0.90925,0.39068,0.31294,0.00274,0.000612809,0.000612809,0.000612809
143,1626.33,0.43432,0.34475,0.00247,0.93776,0.9388,0.96483,0.90972,0.40313,0.30955,0.00286,0.000607073,0.000607073,0.000607073
144,1637.6,0.43297,0.35004,0.00255,0.94691,0.93833,0.9646,0.90648,0.39659,0.30862,0.00281,0.000601332,0.000601332,0.000601332
145,1648.88,0.42794,0.35255,0.00256,0.93981,0.93948,0.96484,0.90824,0.4095,0.31559,0.00285,0.000595586,0.000595586,0.000595586
146,1660.73,0.43036,0.36328,0.00247,0.94805,0.9389,0.96597,0.90784,0.40599,0.30772,0.00282,0.000589837,0.000589837,0.000589837
147,1672.06,0.41423,0.34318,0.00237,0.9426,0.94446,0.96547,0.91066,0.4044,0.30376,0.00274,0.000584084,0.000584084,0.000584084
148,1683.57,0.42817,0.35267,0.00249,0.94851,0.93869,0.96561,0.90782,0.40766,0.30378,0.00282,0.000578329,0.000578329,0.000578329
149,1695.21,0.41794,0.34264,0.00238,0.94529,0.94464,0.96638,0.90703,0.40243,0.2998,0.0028,0.000572572,0.000572572,0.000572572
150,1706.98,0.41737,0.34445,0.00239,0.93346,0.93757,0.9657,0.90457,0.40696,0.30827,0.00281,0.000566814,0.000566814,0.000566814
151,1718.25,0.41747,0.3378,0.00246,0.94776,0.93716,0.96644,0.90997,0.3995,0.30358,0.00274,0.000561055,0.000561055,0.000561055
152,1729.52,0.42423,0.34906,0.00248,0.94542,0.93858,0.96642,0.90835,0.40809,0.30505,0.00285,0.000555296,0.000555296,0.000555296
153,1740.77,0.427,0.34182,0.00246,0.9349,0.9368,0.96505,0.90851,0.40328,0.30798,0.0029,0.000549538,0.000549538,0.000549538
154,1752.08,0.4197,0.34876,0.00241,0.95227,0.93806,0.9656,0.90716,0.41501,0.30268,0.00298,0.000543781,0.000543781,0.000543781
155,1763.39,0.41935,0.33477,0.00232,0.94981,0.94116,0.96696,0.91002,0.40545,0.30082,0.00288,0.000538026,0.000538026,0.000538026
156,1774.77,0.40765,0.33114,0.00226,0.95021,0.93901,0.96678,0.90863,0.41228,0.30028,0.00289,0.000532273,0.000532273,0.000532273
157,1785.97,0.4199,0.34487,0.00236,0.9435,0.94304,0.965,0.9114,0.3864,0.29783,0.00271,0.000526524,0.000526524,0.000526524
158,1797.33,0.41157,0.33701,0.00229,0.94464,0.941,0.96674,0.91268,0.39702,0.29892,0.00278,0.000520778,0.000520778,0.000520778
159,1808.58,0.41353,0.3392,0.0023,0.95034,0.93736,0.96406,0.91284,0.39477,0.30999,0.00274,0.000515037,0.000515037,0.000515037
160,1819.87,0.42014,0.3465,0.00242,0.94565,0.94166,0.96551,0.90786,0.41113,0.3087,0.00292,0.000509301,0.000509301,0.000509301
161,1831.14,0.40352,0.33203,0.00236,0.94838,0.93905,0.96348,0.91019,0.39415,0.31359,0.00281,0.00050357,0.00050357,0.00050357
162,1842.34,0.41462,0.34727,0.00239,0.94537,0.94077,0.96397,0.90748,0.40362,0.30327,0.00278,0.000497846,0.000497846,0.000497846
163,1853.42,0.42293,0.34354,0.00231,0.94576,0.9429,0.96375,0.91109,0.39895,0.30231,0.00275,0.000492129,0.000492129,0.000492129
164,1864.53,0.41181,0.34403,0.00233,0.94209,0.94479,0.96633,0.91668,0.37964,0.29478,0.00262,0.000486419,0.000486419,0.000486419
165,1875.89,0.41363,0.33752,0.00232,0.94809,0.93529,0.96391,0.90757,0.40557,0.30882,0.00281,0.000480717,0.000480717,0.000480717
166,1887.15,0.41221,0.33998,0.0024,0.94072,0.94352,0.96458,0.91057,0.39505,0.3065,0.00275,0.000475025,0.000475025,0.000475025
167,1898.4,0.40409,0.33349,0.00236,0.94604,0.93453,0.96376,0.91035,0.40357,0.31116,0.00279,0.000469341,0.000469341,0.000469341
168,1909.81,0.41488,0.33494,0.00236,0.94174,0.94199,0.9625,0.9096,0.3932,0.31929,0.00266,0.000463668,0.000463668,0.000463668
169,1921.12,0.40911,0.33541,0.00229,0.94669,0.93644,0.9633,0.91126,0.39011,0.32002,0.00267,0.000458006,0.000458006,0.000458006
170,1932.86,0.40644,0.3342,0.00228,0.94483,0.94008,0.96311,0.90728,0.40736,0.31484,0.00287,0.000452354,0.000452354,0.000452354
171,1944.38,0.40053,0.32633,0.00229,0.94029,0.92298,0.96208,0.90992,0.38846,0.31614,0.00278,0.000446715,0.000446715,0.000446715
172,1956.08,0.40001,0.33232,0.00226,0.94685,0.93382,0.96332,0.90923,0.38928,0.3059,0.00269,0.000441088,0.000441088,0.000441088
173,1967.26,0.40416,0.32579,0.00224,0.94924,0.9273,0.9628,0.90697,0.40101,0.30606,0.00283,0.000435475,0.000435475,0.000435475
174,1978.47,0.41582,0.33267,0.0024,0.94819,0.92315,0.96247,0.91013,0.39522,0.31126,0.00266,0.000429875,0.000429875,0.000429875
175,1989.88,0.40312,0.32664,0.0022,0.94427,0.93287,0.963,0.91216,0.38947,0.30861,0.0027,0.000424289,0.000424289,0.000424289
176,2001.19,0.41076,0.33019,0.00227,0.94671,0.9337,0.96349,0.91432,0.38011,0.30866,0.00268,0.000418719,0.000418719,0.000418719
177,2012.88,0.4034,0.32718,0.00234,0.94336,0.92866,0.96292,0.90903,0.38984,0.316,0.00273,0.000413164,0.000413164,0.000413164
178,2024.35,0.40733,0.32789,0.00229,0.94466,0.93667,0.96433,0.9126,0.39068,0.30732,0.00283,0.000407625,0.000407625,0.000407625
179,2035.75,0.41025,0.33082,0.00235,0.94135,0.93973,0.96409,0.91481,0.37751,0.30064,0.00266,0.000402103,0.000402103,0.000402103
180,2046.9,0.40467,0.3261,0.0022,0.9421,0.93796,0.96314,0.91247,0.38222,0.30672,0.0027,0.000396599,0.000396599,0.000396599
